id,image_path,label,text,reason
1235,01235.png,1,,disrespects the muslims by insinuating that they are into bestiality.
1247,01247.png,1,,mocks the jews by downplaying the culling of the jews by hitler during the holocaust.
1258,01258.png,1,,disrespects the males by implying that they are faggots if they are offended easily.
1269,01269.png,1,,mocks the muslims for being haram.
1295,01295.png,1,,mocks the christians by labelling them as child molesters.
1349,01349.png,1,,disrespects the jews by downplaying the culling of jews by hitler.
1395,01395.png,1,,mocks the mexicans for the skin colour and implying that they are birthed from the anus.
1436,01436.png,1,,disrespects the people with intellectual disabilities by joking about how their disability can make them impervious to bullets.
1467,01467.png,1,,disrespects the whites by expressing animosity against them via the derogatory term honky.
1469,01469.png,1,,disrespects the muslims by labelling them as suicide bombers and expressing hate against them.
1475,01475.png,1,,disrespects the muslims by suggesting they be killed of like what vlad the impaler did.
1487,01487.png,1,,mocks the people with intellectual disabilities.
1497,01497.png,1,,mocks the muslims for their practice of child marriages.
1546,01546.png,1,,disrespects the jews by expressing animosity against them and suggesting that they be killed off.
1568,01568.png,1,,disrespects the muslims by suggesting that they are terrorists and have infiltrated the government by taking up government positions.
1578,01578.png,1,,dehumanizes the blacks by likening them to monkeys.
1579,01579.png,1,,disrespects the muslims by celebrating the departure of muslims owing to the lack of pork-free food.
1589,01589.png,1,,disrespects the lgbt community by joking about their sexual practices.
1642,01642.png,1,,disrespects the blacks by suggesting that the blacks are lesser people who are unable to read.
1643,01643.png,1,,mocks the blacks by likening their skin colour to a shadow.
1649,01649.png,1,,disrespects the blacks by suggesting that they are murderers and should be incarcerated.
1682,01682.png,1,,disrespects the muslims by expressing animosity against them and labelling them as child rapists.
1793,01793.png,1,,disrespects the muslims by likening the burning of muslims to the watering of plants.
1924,01924.png,1,,disparages the females by implying that they are lesser beings that can't even function like a suicide vest when triggered.
1943,01943.png,1,,disrespects the people with physical disabilities by joking about their vision impairment and how that would cause them to fail in wooing.
1953,01953.png,1,,disparages the muslims by suggesting they be hunted and killed off.
1975,01975.png,1,,disrespects the muslims by insinuating that they are into bestiality.
2158,02158.png,1,,disrespects the females by suggesting that they are lesser beings through likening them to chickens.
2165,02165.png,1,,mocks the muslims by insinuating them to be killers if one does not abide by allah.
2169,02169.png,1,,mocks the asians for their small eyes and having to open them bigger to see better.
2317,02317.png,1,,disparages the whites by expressing animosity against them and suggesting they go to hell.
2351,02351.png,1,,disrespects the people with intellectual disabilities by suggesting that people would not approach the them.
2358,02358.png,1,,disrespects the jews by downplaying the culling of the jews during the holocaust through the labelling anne frank as one of the wimpy kids subjected the aforementioned culling.
2371,02371.png,1,,disrespects the mexicans by mocking their looks.
2381,02381.png,1,,dehumanizes the blacks by suggesting that they belong in the jail.
2389,02389.png,1,,disrespects the jews by defending an offence remark made by ilhan omar against the jews.
2431,02431.png,1,,disrespects the females by implying they are lesser people who are only good for preparing food for someone else.
2435,02435.png,1,,disrespects the people with physical disabilities by mocking their small stature and suggesting that they are as easy to spin as a fidget spinner.
2457,02457.png,1,,disrespects the blacks through the use of the kkk which is a white supremacist terrorist and hate group.
2481,02481.png,1,,disparages the lgbt community by expressing animosity against them and suggesting that they should die.
2561,02561.png,1,,dehumanizes the mexicans by suggesting that they are savages and will force their way into america and reap havoc.
2581,02581.png,1,,mocks the males for being rapists and suggesting that they be killed.
2594,02594.png,1,,disrespects the muslims by insinuating them to be into bestiality.
2653,02653.png,1,,disrespects the muslims by suggesting that they are child rapists who get away scot-free.
2657,02657.png,1,,dehumanizes the females by implying that they are lesser people who are only good for making sandwiches.
2674,02674.png,1,,mocks the asians for their poor driving skills by suggesting that they would crash the car.
2719,02719.png,1,,disrespects the blacks by likening them to monkeys.
2768,02768.png,1,,disrespects the immigrants by looking down on their livelihood.
2814,02814.png,1,,disrespects the people with intellectual disabilities through the use of a pun on down syndrome.
2815,02815.png,1,,disparages the blacks by expressing animosity towards them and suggesting they be beaten and segregated from the whites.
2816,02816.png,1,,disrespects the people with intellectual disabilities by joking about them drowning through a pun.
2831,02831.png,1,,disparages the refugees by implying that they should be attacked by sharks along their journey seeking refuge.
2849,02849.png,1,,disrespects the asians by mocking their english pronounciation.
2853,02853.png,1,,disrespects the muslims by taking their teachings out of context and suggesting that it can radicalise them.
2854,02854.png,1,,disrespects the people with physical disabilities by making fun of their small stature.
2857,02857.png,1,,disrespects the females by downplaying their education and implying that they are lesser people.
2863,02863.png,1,,disrespects the whites by implying that they are a threat to people.
2876,02876.png,1,,disrespects the people with intellectual disabilities by joking about their disposition towards milkshake.
2891,02891.png,1,,disrespects the muslims by suggesting that they are suicide bombers.
2917,02917.png,1,,disparages the muslims by expressing animosity against them through pointing a gun at them.
2945,02945.png,1,,mocks the indians by downplaying their hunger situation during the british empire.
2946,02946.png,1,,disrespects the jews by downplaying the culling of the jews through a pun on anne frank being hot.
2965,02965.png,1,,disrespects the people with physical disabilities by mocking their vision impairment and joking about dumping them as they look like they are looking at someone else.
2967,02967.png,1,,disrespects the blacks by portraying a white politician holding a bill which is about to be passed to repress black people rights.
2971,02971.png,1,,disrespects the people with intellectual disabilities by making fun of harvey price being close to his mother.
2974,02974.png,1,,mocks the the people with physical disabilities and implying that they are only good for sexual gratification.
3124,03124.png,1,,disrespects the muslims by suggesting that they are terrorists who craft bombs.
3128,03128.png,1,,mocks the blacks by suggesting that they are thieves.
3145,03145.png,1,,disrespects the lgbt community by suggesting that each group is mentally challenged.
3148,03148.png,1,,disrespects the africans by mocking their lack of food.
3178,03178.png,1,,disrespects the muslims by suggesting that they all all terrorists and are related to the 9/11 attacks.
3185,03185.png,1,,mocks the africans for their lack of food and that they would go so far to eat semen.
3254,03254.png,1,,dehumanizes the blacks by suggesting that they are prone to gun violence.
3257,03257.png,1,,dehumanizes the whites as poor marriage partners.
3258,03258.png,1,,disrespects the refugees by suggesting they are seeking asylum in australia for steroids.
3291,03291.png,1,,vilifies the muslims by suggesting that they should not be allowed to immigrate to australia.
3421,03421.png,1,,mocks the whites for the white shooting incidents that happened in schools.
3472,03472.png,1,,disrespects the blacks by likening them to animals who are put for sale.
3479,03479.png,1,,disparages the blacks by likening them to dirt.
3591,03591.png,1,,derides the females in governments whom systemically exploit the blacks under the pretense that they are helping them.
